Column1;NS.Chlorophyta;NS.Ochrophyta;NS.Cryptophyta;NS.Haptophyta;NS.Katablepharidophyta;NS.Rhodophyta;U.Chlorophyta;U.Ochrophyta2;U.Cryptophyta;U.Haptophyta;U.Katablepharidophyta;U.Rhodophyta;Chlorophyta;Ochrophyta;Cryptophyta;Haptophyta;Katablepharidophyta;Rhodophyta
C1A17;57;4222;0;240;0;0;0;531;0;41;0;0;57;3691;0;199;0;0
C1F18;129;2112;156;48;88;0;0;295;20;14;18;0;129;1817;136;34;70;0
C1A18;592;407;164;146;541;0;126;67;0;22;6;0;466;340;164;124;535;0
C2A17;0;321;0;0;5;0;0;24;0;0;0;0;0;297;0;0;5;0
C2F18;123;7472;151;61;100;0;0;545;0;54;1;0;123;6927;151;7;99;0
C2A18;786;624;143;201;162;0;142;177;0;45;5;0;644;447;143;156;157;0
C3A17;42;2222;0;9;13;0;0;232;0;0;0;0;42;1990;0;9;13;0
C3F18;296;15063;86;270;45;5;10;1093;17;187;0;5;286;13970;69;83;45;0
C3A18;966;5449;239;595;484;0;15;680;0;215;0;0;951;4769;239;380;484;0
C4A17;59;600;0;0;0;0;0;40;0;0;0;0;59;560;0;0;0;0
C4F18;485;13842;143;342;105;0;56;1096;0;196;0;0;429;12746;143;146;105;0
C4A18;622;2922;104;574;404;0;84;473;0;138;8;0;538;2449;104;436;396;0
F1A17;193;913;2879;358;219;13;85;158;0;153;0;13;108;755;2879;205;219;0
F1F18;9;17680;52;57;3;5;0;144;0;9;0;5;9;17536;52;48;3;0
F1A18;992;488;182;54;15;12;31;50;0;0;0;12;961;438;182;54;15;0
F2A17;147;961;304;251;77;12;16;293;0;133;0;12;131;668;304;118;77;0
F2F18;26;9308;94;78;0;10;0;130;0;55;0;10;26;9178;94;23;0;0
F2A18;309;703;127;97;26;0;13;48;0;0;0;0;296;655;127;97;26;0
F3A17;53;158;70;72;40;0;11;33;0;53;0;0;42;125;70;19;40;0
F3F18;57;2868;77;224;30;0;42;145;0;59;29;0;15;2723;77;165;1;0
F3A18;1078;162;53;41;0;49;32;34;0;0;0;49;1046;128;53;41;0;0
F4A17;11;39;140;22;18;24;11;15;0;0;0;24;0;24;140;22;18;0
F4F18;48;2641;122;176;40;20;6;157;16;46;36;20;42;2484;106;130;4;0
F4A18;498;785;321;193;16;0;4;88;0;28;0;0;494;697;321;165;16;0
H1A17;1544;394;93;501;0;411;509;176;0;120;0;168;1035;218;93;381;0;243
H1F18;340;463;5;173;17;128;22;118;0;0;0;22;318;345;5;173;17;106
H1A18;499;477;114;290;2;114;297;33;0;83;0;17;202;444;114;207;2;97
H2A17;1524;320;79;304;0;11;989;27;0;32;0;11;535;293;79;272;0;0
H2F18;672;393;138;178;14;10;27;78;0;0;0;0;645;315;138;178;14;10
H2A18;376;487;118;277;1;129;256;204;0;75;0;75;120;283;118;202;1;54
H3A17;1338;238;125;378;0;78;729;42;0;56;0;48;609;196;125;322;0;30
H3F18;989;384;24;150;17;0;443;90;0;55;0;0;546;294;24;95;17;0
H3A18;137;434;147;166;5;48;25;78;0;35;0;11;112;356;147;131;5;37
H4A17;6009;474;167;563;7;93;3257;188;0;263;0;68;2752;286;167;300;7;25
H4F18;603;590;55;124;24;1;132;32;0;31;0;0;471;558;55;93;24;1
H4A18;433;694;131;266;0;45;39;47;0;43;0;0;394;647;131;223;0;45
P1F18;310;226;99;42;85;8;0;68;0;0;0;0;310;158;99;42;85;8
P1A18;255;7700;0;134;29;2044;13;2605;0;35;29;1256;242;5095;0;99;0;788
P2F18;1084;343;109;27;70;0;0;138;16;10;0;0;1084;205;93;17;70;0
P3F18;8876;189;177;107;39;0;48;105;80;27;0;0;8828;84;97;80;39;0
P4F18;529;341;103;79;75;0;0;146;47;9;0;0;529;195;56;70;75;0
