Column1;Chlorophyta;Ochrophyta;Cryptophyta;Haptophyta;Katablepharidophyta;Rhodophyta
C1A17;0;531;0;41;0;0
C1F18;0;295;20;14;18;0
C1A18;126;67;0;22;6;0
C2A17;0;24;0;0;0;0
C2F18;0;545;0;54;1;0
C2A18;142;177;0;45;5;0
C3A17;0;232;0;0;0;0
C3F18;10;1093;17;187;0;5
C3A18;15;680;0;215;0;0
C4A17;0;40;0;0;0;0
C4F18;56;1096;0;196;0;0
C4A18;84;473;0;138;8;0
F1A17;85;158;0;153;0;13
F1F18;0;144;0;9;0;5
F1A18;31;50;0;0;0;12
F2A17;16;293;0;133;0;12
F2F18;0;130;0;55;0;10
F2A18;13;48;0;0;0;0
F3A17;11;33;0;53;0;0
F3F18;42;145;0;59;29;0
F3A18;32;34;0;0;0;49
F4A17;11;15;0;0;0;24
F4F18;6;157;16;46;36;20
F4A18;4;88;0;28;0;0
H1A17;509;176;0;120;0;168
H1F18;22;118;0;0;0;22
H1A18;297;33;0;83;0;17
H2A17;989;27;0;32;0;11
H2F18;27;78;0;0;0;0
H2A18;256;204;0;75;0;75
H3A17;729;42;0;56;0;48
H3F18;443;90;0;55;0;0
H3A18;25;78;0;35;0;11
H4A17;3257;188;0;263;0;68
H4F18;132;32;0;31;0;0
H4A18;39;47;0;43;0;0
P1F18;0;68;0;0;0;0
P1A18;13;2605;0;35;29;1256
P2F18;0;138;16;10;0;0
P3F18;48;105;80;27;0;0
P4F18;0;146;47;9;0;0
