"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta"
"C1_2017.04";700;3946;0;4934;0
"C1_2018.02";10150;2730;538;427;499
"C1_2018.04";14921;4190;1359;533;585
"C2_2017.04";95;335;8;81;5
"C2_2018.02";2468;9330;619;286;213
"C2_2018.04";12158;2562;795;274;178
"C3_2017.04";424;4639;0;39;13
"C3_2018.02";1063;21270;184;615;58
"C3_2018.04";5900;9183;1223;861;550
"C4_2017.04";181;613;0;47;0
"C4_2018.02";1825;18248;445;777;122
"C4_2018.04";6944;8610;1243;954;461
"F1_2017.04";3237;1084;5899;978;219
"F1_2018.02";1182;18986;144;126;142
"F1_2018.04";13715;1123;1412;118;54
"F2_2017.04";4985;935;1433;742;77
"F2_2018.02";2467;10371;360;128;215
"F2_2018.04";17515;1782;1082;169;89
"F3_2017.04";2405;187;325;209;40
"F3_2018.02";3290;3377;1191;306;537
"F3_2018.04";12257;506;506;64;31
"F4_2017.04";1418;83;400;177;18
"F4_2018.02";3309;3042;1120;230;473
"F4_2018.04";11935;1695;2222;228;83
"H1_2017.04";17809;432;501;1995;0
"H1_2018.02";26756;617;663;232;307
"H1_2018.04";18958;1491;889;345;18
"H2_2017.04";18691;411;445;1499;0
"H2_2018.02";23523;575;1037;256;199
"H2_2018.04";18580;1698;1054;324;23
"H3_2017.04";16652;490;1137;636;0
"H3_2018.02";27374;816;864;271;160
"H3_2018.04";18802;1368;1148;265;44
"H4_2017.04";18945;927;1428;735;7
"H4_2018.02";27725;807;689;218;107
"H4_2018.04";22042;3404;1534;553;8
"P1_2018.02";18907;2454;889;111;266
"P1_2018.04";3023;9092;274;181;0
"P2_2018.02";18629;2300;1574;229;377
"P3_2018.02";20569;2593;1458;169;163
"P4_2018.02";16695;2474;815;107;358
