"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1_2017.04";657;1321;0;4819;0;0
"C1_2018.02";10115;1657;526;402;452;0
"C1_2018.04";14845;4138;1359;491;79;0
"C2_2017.04";95;143;8;81;0;0
"C2_2018.02";2468;5680;528;286;121;0
"C2_2018.04";11893;2321;795;261;37;0
"C3_2017.04";424;3067;0;34;0;0
"C3_2018.02";1057;12100;184;611;23;0
"C3_2018.04";5571;6457;1223;769;84;0
"C4_2017.04";170;215;0;47;0;0
"C4_2018.02";1815;10027;389;777;17;0
"C4_2018.04";6792;7297;1243;877;67;0
"F1_2017.04";3272;674;5899;850;0;0
"F1_2018.02";1182;12801;182;108;140;0
"F1_2018.04";13614;903;1415;118;52;0
"F2_2017.04";5057;542;1433;715;7;0
"F2_2018.02";2454;6988;344;135;215;0
"F2_2018.04";17535;1727;1082;148;87;0
"F3_2017.04";2418;186;325;198;0;0
"F3_2018.02";3275;2175;1191;369;537;0
"F3_2018.04";12110;543;506;69;31;0
"F4_2017.04";1418;77;400;155;0;0
"F4_2018.02";3280;2050;1109;287;472;0
"F4_2018.04";11943;1474;2231;195;77;0
"H1_2017.04";18248;563;501;2142;0;243
"H1_2018.02";26905;735;668;265;307;106
"H1_2018.04";19052;1700;889;364;18;97
"H2_2017.04";18856;577;445;1556;0;0
"H2_2018.02";23683;750;1119;289;199;10
"H2_2018.04";18593;1792;1054;341;24;54
"H3_2017.04";16855;583;1137;737;0;30
"H3_2018.02";27686;1017;888;314;160;0
"H3_2018.04";18824;1445;1148;265;44;37
"H4_2017.04";20204;1054;1428;841;7;25
"H4_2018.02";27916;1135;744;241;107;1
"H4_2018.04";22114;3601;1543;574;8;45
"P1_2018.02";19167;2428;940;79;274;8
"P1_2018.04";3100;4332;274;248;0;788
"P2_2018.02";19016;2299;1641;243;377;0
"P3_2018.02";20811;2609;1555;110;161;0
"P4_2018.02";16910;2414;871;69;358;0
