"";"Division";"C1_2017.04";"C1_2018.02";"C1_2018.04";"C2_2017.04";"C2_2018.02";"C2_2018.04";"C3_2017.04";"C3_2018.02";"C3_2018.04";"C4_2017.04";"C4_2018.02";"C4_2018.04";"F1_2017.04";"F1_2018.02";"F1_2018.04";"F2_2017.04";"F2_2018.02";"F2_2018.04";"F3_2017.04";"F3_2018.02";"F3_2018.04";"F4_2017.04";"F4_2018.02";"F4_2018.04";"H1_2017.04";"H1_2018.02";"H1_2018.04";"H2_2017.04";"H2_2018.02";"H2_2018.04";"H3_2017.04";"H3_2018.02";"H3_2018.04";"H4_2017.04";"H4_2018.02";"H4_2018.04";"P1_2018.02";"P1_2018.04";"P2_2018.02";"P3_2018.02";"P4_2018.02";"Color"
"nChl";"Chlorophya";"  57";"  129";"  592";"  0";" 123";"  786";"  42";"  296";" 966";" 59";"  485";" 622";" 193";"    9";"  992";" 147";"  26";"  309";"  53";"  57";" 1078";"  11";"  48";"  498";" 1544";"  340";"  499";" 1524";"  672";"  376";" 1338";"  989";"  137";" 6009";"  603";"  433";"  310";" 255";" 1084";" 8876";"  529";"#2C962C"
"nOch";"Ochrophyta";"4222";" 2112";"  407";"321";"7472";"  624";"2222";"15063";"5449";"600";"13842";"2922";" 913";"17680";"  488";" 961";"9308";"  703";" 158";"2868";"  162";"  39";"2641";"  785";"  394";"  463";"  477";"  320";"  393";"  487";"  238";"  384";"  434";"  474";"  590";"  694";"  226";"7700";"  343";"  189";"  341";"#6D2C81"
"nCryp";"Cryptophyta";"   0";"  156";"  164";"  0";" 151";"  143";"   0";"   86";" 239";"  0";"  143";" 104";"2879";"   52";"  182";" 304";"  94";"  127";"  70";"  77";"   53";" 140";" 122";"  321";"   93";"    5";"  114";"   79";"  138";"  118";"  125";"   24";"  147";"  167";"   55";"  131";"   99";"   0";"  109";"  177";"  103";"#2C2C8F"
"nHap";"Haptophyta";" 240";"   48";"  146";"  0";"  61";"  201";"   9";"  270";" 595";"  0";"  342";" 574";" 358";"   57";"   54";" 251";"  78";"   97";"  72";" 224";"   41";"  22";" 176";"  193";"  501";"  173";"  290";"  304";"  178";"  277";"  378";"  150";"  166";"  563";"  124";"  266";"   42";" 134";"   27";"  107";"   79";"#D52C2C"
"nKata";"Katablepharidophyta";"   0";"   88";"  541";"  5";" 100";"  162";"  13";"   45";" 484";"  0";"  105";" 404";" 219";"    3";"   15";"  77";"   0";"   26";"  40";"  30";"    0";"  18";"  40";"   16";"    0";"   17";"    2";"    0";"   14";"    1";"    0";"   17";"    5";"    7";"   24";"    0";"   85";"  29";"   70";"   39";"   75";"#00A19D"
"nRho";"Rhodophyta";"   0";"    0";"    0";"  0";"   0";"    0";"   0";"    5";"   0";"  0";"    0";"   0";"  13";"    5";"   12";"  12";"  10";"    0";"   0";"   0";"   49";"  24";"  20";"    0";"  411";"  128";"  114";"   11";"   10";"  129";"   78";"    0";"   48";"   93";"    1";"   45";"    8";"2044";"    0";"    0";"    0";"#FFC42C"
"sChl";"Chlorophyta";" 643";"10021";"14455";" 95";"2345";"11514";" 382";"  777";"4949";"122";" 1396";"6406";"3193";" 1173";"12839";"4957";"2442";"17280";"2388";"3275";"11275";"1418";"3269";"11540";"17213";"26587";"18850";"18321";"23038";"18473";"16246";"27140";"18712";"17452";"27445";"21720";"18892";"2895";"17954";"11998";"16401";"#32CD32"
"sOch";"Ochrophyta";" 255";"  913";" 3850";" 38";"2403";" 2115";"2649";" 7300";"4414";" 53";" 5502";"6161";" 375";" 1460";"  720";" 336";"1201";" 1335";"  97";" 764";"  446";"  68";" 722";" 1093";"  345";"  390";" 1256";"  284";"  435";" 1509";"  387";"  723";" 1089";"  768";"  577";" 2954";" 2362";"4160";" 2218";" 2559";" 2339";"#800080"
"sCryp";"Cryptophyta";"   0";"  402";" 1195";"  8";" 468";"  652";"   0";"  115";" 984";"  0";"  302";"1139";"3020";"  130";" 1233";"1129";" 266";"  955";" 255";"1114";"  453";" 260";"1014";" 1910";"  408";"  663";"  775";"  366";"  981";"  936";" 1012";"  864";" 1001";" 1261";"  689";" 1412";"  865";" 274";" 1561";" 1458";"  815";"#0000FF"
"sHap";"Haptophyta";"4735";"  393";"  409";" 81";" 279";"  118";"  30";"  532";" 481";" 47";"  631";" 518";" 802";"   93";"   64";" 639";" 120";"   72";" 190";" 214";"   28";" 155";" 165";"   70";" 1761";"   92";"  157";" 1284";"  111";"  139";"  415";"  219";"  134";"  541";"  148";"  351";"   69";" 149";"  226";"  101";"   53";"#F50029"
"sKata";"Katablepharidophyta";"   0";"  429";"   50";"  0";" 114";"   21";"   0";"   13";"  66";"  0";"   17";"  65";"   0";"  139";"   39";"   0";" 215";"   69";"   0";" 536";"   31";"   0";" 469";"   67";"    0";"  290";"   16";"    0";"  185";"   23";"    0";"  143";"   39";"    0";"   83";"    8";"  189";"   0";"  307";"  124";"  283";"#00FF7F"
