"";"Chlorophyta";"Ochrophyta";"Haptophyta";"Rhodophyta"
"C1_2017.04";0;0;0;0
"C1_2018.02";0;0;0;0
"C1_2018.04";0;0;0;0
"C2_2017.04";0;0;0;0
"C2_2018.02";0;0;0;0
"C2_2018.04";0;0;0;0
"C3_2017.04";0;0;0;0
"C3_2018.02";0;0;0;0
"C3_2018.04";0;0;0;0
"C4_2017.04";0;0;0;0
"C4_2018.02";0;0;0;0
"C4_2018.04";0;0;0;0
"F1_2017.04";0;0;0;0
"F1_2018.02";0;0;0;0
"F1_2018.04";0;0;0;0
"F2_2017.04";0;0;0;0
"F2_2018.02";0;0;0;0
"F2_2018.04";0;0;0;0
"F3_2017.04";0;0;0;0
"F3_2018.02";0;0;0;0
"F3_2018.04";0;0;0;0
"F4_2017.04";0;0;0;0
"F4_2018.02";0;0;0;0
"F4_2018.04";0;0;0;0
"H1_2017.04";509;176;120;168
"H1_2018.02";22;118;0;22
"H1_2018.04";297;33;83;17
"H2_2017.04";989;27;32;11
"H2_2018.02";27;78;0;0
"H2_2018.04";256;204;75;75
"H3_2017.04";729;42;56;48
"H3_2018.02";443;90;55;0
"H3_2018.04";25;78;35;11
"H4_2017.04";3257;188;263;68
"H4_2018.02";132;32;31;0
"H4_2018.04";39;47;43;0
"P1_2018.02";0;0;0;0
"P1_2018.04";0;0;0;0
"P2_2018.02";0;0;0;0
"P3_2018.02";0;0;0;0
"P4_2018.02";0;0;0;0
